fixed_acidity,residual_sugar,free_sulfur_dioxide,total_sulfur_dioxide,alcohol,quality
7.4,1.9,11,34,9.4,5
7.8,2.6,25,67,9.8,5
7.8,2.3,15,54,9.8,5
11.2,1.9,17,60,9.8,6
7.4,1.9,11,34,9.4,5
7.4,1.8,13,40,9.4,5
7.9,1.6,15,59,9.4,5
7.3,1.2,15,21,10,7
7.8,2,9,18,9.5,7
7.5,6.1,17,102,10.5,5
6.7,1.8,15,65,9.2,5
7.5,6.1,17,102,10.5,5
5.6,1.6,16,59,9.9,5
7.8,1.6,9,29,9.1,5
8.9,3.8,52,145,9.2,5
8.9,3.9,51,148,9.2,5
8.5,1.8,35,103,10.5,7
8.1,1.7,16,56,9.3,5
7.4,4.4,6,29,9,4
7.9,1.8,17,56,9.2,6
8.9,1.8,29,60,9.4,6
7.6,2.3,23,71,9.7,5
7.9,1.6,10,37,9.5,5
8.5,2.3,9,67,9.4,5
6.9,2.4,21,40,9.7,6
6.3,1.4,11,23,9.3,5
7.6,1.8,4,11,9.5,5
7.9,1.6,10,37,9.5,5
7.1,1.9,14,35,9.4,5
7.8,2,8,16,9.8,6
6.7,2.4,17,82,10.1,5
6.9,2.5,22,37,10.6,6
8.3,2.3,15,113,9.8,5
6.9,10.7,40,83,9.4,6
5.2,1.8,13,50,9.2,5
7.8,5.5,5,18,9.6,6
7.8,2.4,3,15,10.8,6
8.1,2.1,13,30,9.7,7
5.7,1.5,7,19,9.8,4
7.3,5.9,12,87,10.5,5
7.3,5.9,12,87,10.5,5
8.8,2.8,17,46,9.3,4
7.5,2.6,8,14,10.5,6
8.1,2.2,9,23,10.3,5
6.8,1.8,5,11,9.5,5
4.6,2.1,8,65,13.1,4
7.7,2.2,22,114,9.2,5
8.7,1.6,12,37,9.5,5
6.4,1.6,5,12,9.2,5
5.6,1.4,12,96,9.2,5
8.8,1.7,4,23,9.2,5
6.6,2.2,8,15,9.4,6
6.6,2.1,6,14,9.4,6
8.6,3,30,119,9.4,5
7.6,2.8,33,73,10.2,6
7.7,3.8,25,45,9.5,5
10.2,3.4,4,10,9.6,5
7.5,5.1,50,110,9.4,5
7.8,2.3,17,54,10,5
7.3,2.4,9,46,9.4,6
8.8,2.2,19,52,9.2,5
7.7,1.8,20,112,9.3,5
7.5,1.9,12,35,9.5,7
7,2,13,54,9.8,5
7.2,4.65,4,11,10.9,5
7.2,4.65,4,11,10.9,5
7.5,1.5,11,39,9.6,5
6.6,1.6,6,15,10.7,5
9.3,2,27,65,10.7,5
8,1.9,8,19,10.5,6
7.7,1.9,15,27,9.5,6
7.7,2.1,17,96,9.5,5
7.7,1.9,18,94,9.5,5
8.3,2.1,11,43,9.2,4
9.7,2.5,28,83,9.6,5
8.8,2.2,9,42,10.5,5
8.8,2.2,9,42,10.5,5
6.8,2.4,14,30,10.7,6
6.7,2,12,80,10.1,5
8.3,1.5,27,119,9.1,4
6.2,1.6,3,15,9.2,5
7.8,1.9,22,67,9.4,5
7.4,2,21,73,9.1,5
7.3,1.8,16,51,9.4,5
6.3,1.8,18,61,10.3,6
6.9,2.2,19,40,10.1,5
8.6,1.9,20,136,9.9,6
7.7,1.9,9,31,9.6,5
9.3,2.1,34,125,9.5,5
7,1.8,8,24,9,5
7.9,1.9,42,140,9.5,5
8.6,1.9,20,136,9.9,6
8.6,2,19,133,9.8,5
7.7,1.9,9,31,9.6,5
5,1.4,41,85,10.5,4
4.7,2.3,17,106,12.9,6
6.8,3,8,23,10.7,5
7,2,3,22,9.2,5
7.6,2.5,5,10,9.8,5
8.1,1.9,13,35,9,6
8.3,2.1,11,50,10.2,6
7.8,1.9,8,22,10.4,6
8.1,1.9,13,35,9,6
8.1,2.1,12,65,9.2,5
7.2,2.2,5,36,9.4,5
8.1,2.1,12,65,9.2,5
7.8,1.7,18,69,9.3,5
6.2,1.7,15,64,9.3,5
8,2.5,18,80,9.6,6
8.1,2,37,153,9.3,5
7.8,1.8,12,47,9.5,5
8.4,2.2,11,108,9.8,5
8.4,2.2,14,111,9.8,5
10.1,2.3,22,46,9.7,6
7.8,1.8,12,47,9.5,5
9.4,2.2,13,62,10.5,6
8.3,1.9,11,40,10,6
7.8,2,7,28,9.4,6
8.8,2.2,14,56,10.9,6
7,1.8,22,89,9.2,6
7.3,1.7,10,89,9,5
8.8,2.2,14,56,10.9,6
7.3,2.5,3,13,9.2,5
8,2.6,11,34,9.5,5
7.8,1.6,21,102,9.5,5
9,1.9,27,90,9.4,5
8.2,1.7,3,12,10.9,5
8.1,1.8,3,12,10.9,5
8,1.8,3,16,10.5,7
6.1,1.8,6,19,9.4,5
8,2,30,134,9.4,5
5.6,2.3,17,99,13,5
5.6,2.3,17,99,13,5
6.6,1.5,17,26,9.8,6
7.9,2.2,13,29,9.9,6
8.4,1.9,16,63,9.6,5
8.3,1.8,10,52,9.5,5
7.2,2,13,45,9.2,5
7.8,2.1,15,105,9.5,5
7.8,2,17,108,9.5,5
8.4,1.9,16,63,9.6,5
8.3,1.8,10,52,9.5,5
5.2,1.8,27,63,14,6
6.3,1.7,3,20,9.4,5
5.2,1.8,27,63,14,6
8.1,1.8,32,141,9.4,5
5.8,1.8,21,94,10,5
7.6,1.6,10,88,9.3,5
6.9,2.3,12,30,10.2,6
8.2,2.8,11,43,10.5,6
7.3,2.1,5,11,10.3,6
9.2,3.4,32,69,9.4,4
7.5,1.8,25,99,10.1,5
7.5,1.8,25,99,10.1,5
7.1,5.5,29,129,10.5,5
7.1,5.5,28,128,10.5,5
7.1,5.5,29,129,10.5,5
7.1,5.5,28,128,10.5,5
7.1,2.2,12,22,9.3,5
6.8,1.9,18,86,9.3,6
7.6,2,7,20,9.6,5
7.6,1.3,9,20,9.2,4
7.8,1.7,17,31,10,6
7.4,7.3,36,121,9.4,5
7.3,7.2,35,121,9.4,5
7.8,1.7,14,96,9.5,5
6.8,2.1,18,101,10.2,5
7.3,1.6,17,42,9,4
6.8,2.1,11,44,10.4,6
7.5,1.8,15,63,9.5,5
7.9,1.8,4,8,9.1,4
8,2,6,18,9.2,6
8,2,6,18,9.2,6
7.4,1.9,24,42,11.5,6
7.3,2,7,35,9.5,5
6.9,1.5,19,49,9.5,5
7.3,2,7,35,9.5,5
7.5,2.3,8,38,10.5,6
7,2.5,7,20,9.6,5
8.8,2.4,10,42,9.5,5
8.8,2.4,10,42,9.5,5
8.9,2,23,110,9.3,5
7.2,2.5,16,42,9.3,5
6.8,1.8,11,65,9.3,5
6.7,1.9,8,62,9.3,6
8.9,2,26,85,9.7,5
7.4,2,14,67,9.2,5
7.7,2.6,9,26,9.7,5
7.9,2,15,143,9.5,5
7.9,1.9,17,144,9.5,5
8.2,2.9,21,127,9.4,5
6.4,1.9,21,49,9.8,6
6.8,3.8,16,126,9.5,5
7.6,2.2,7,28,9.7,5
7.6,2.2,7,28,9.7,5
7.8,2,24,120,9.4,5
7.3,2.4,15,55,10.2,5
11.5,2,12,27,10.1,6
5.4,1.2,13,93,13,7
6.9,2.1,12,31,11.4,4
9.6,1.4,9,24,10.3,7
8.8,2.1,39,145,9.3,5
6.8,1.5,16,49,9.5,5
7,1.6,16,39,9.2,5
7,1.6,14,37,9.2,6
12.8,2.6,9,28,10.8,7
12.8,2.6,9,28,10.8,7
7.8,1.8,26,120,9.3,5
7.8,2.7,18,95,9.4,5
11,2.1,7,19,10.5,7
9.7,2,5,19,12.4,6
8,2.8,10,62,10,6
11.6,2.1,5,15,10.2,6
8.2,2.2,28,65,10.1,5
7.8,2.4,10,41,9.8,6
7,5.6,26,121,10.5,5
8.7,2,13,49,11,5
8.1,2.2,11,41,9.1,5
7.5,1.9,10,44,9.7,5
7.8,2.4,24,144,9.5,5
7.8,2,24,58,9.4,6
7.4,2,16,72,9.4,5
6.8,1.5,5,10,9.5,5
8.6,2,8,28,10,6
8.4,2,15,55,10.4,4
7.7,2.6,29,63,10.5,6
8.9,2,27,81,9.5,6
9,2.6,9,23,9.8,5
7.7,2.6,29,63,10.5,6
6.9,2.6,10,37,11,5
5.2,1.6,19,106,12.2,7
8,1.8,12,49,9.9,6
8.5,2.8,18,58,9.6,6
6.9,2.6,10,37,11,5
8.2,2.3,7,37,9,6
7.2,1.9,14,38,9,6
7.2,1.9,14,38,9,6
7.2,1.9,15,39,9.2,6
7.2,1.9,14,38,9,6
8.2,2.3,7,37,9,6
8.9,1.7,5,62,9.3,5
12,2.1,6,24,10.9,6
7.7,1.8,28,109,9.8,6
15,2.2,10,24,9.2,7
15,2.2,10,24,9.2,7
7.3,2,6,23,9.9,6
7.1,1.9,16,51,9.5,5
8.2,2.3,11,73,9.3,5
7.7,1.7,9,39,9.8,6
7.3,2,6,23,9.9,6
10.8,1.6,16,37,10,6
7.1,1.8,16,34,9.9,6
11.1,3.1,5,21,10.5,5
7.7,1.9,8,86,9.5,5
7.1,1.8,16,34,9.9,6
8,3.2,17,119,9.3,5
9.4,2.2,5,13,9.2,5
6.6,2.1,12,56,9.2,5
7.7,1.8,8,45,9.4,5
10,2.6,14,33,10.5,7
7.9,1.7,18,45,9.3,5
7,2,12,67,9.4,4
8,1.7,10,35,10,5
7.9,1.8,23,49,9.3,5
12.5,2.4,5,27,10.9,5
11.8,1.8,6,10,10.2,7
8.1,3.3,26,61,9.8,4
7.9,3.6,15,37,12.8,8
6.9,3,7,27,9.4,6
11.5,4,4,23,10.1,6
7.9,4,27,61,10.7,6
11.5,4,4,23,10.1,6
10.9,4,17,65,10.1,5
8.4,2.4,10,38,9.4,5
7.5,7,27,94,9.4,5
7.9,4,27,61,10.7,6
6.9,3,7,27,9.4,6
11.5,4,4,23,10.1,6
10.3,6.4,5,13,12.6,8
8.9,5.6,10,47,10.5,7
11.4,3.6,6,19,9.3,6
7.7,3.5,5,10,9.9,7
7.6,3,12,53,9.1,5
8.9,5.6,10,47,10.5,7
9.9,3.4,32,71,9.8,5
9.9,3.4,32,71,9.8,5
12,2,25,49,10.3,6
7.5,3,29,53,10.3,6
8.7,2.5,20,49,10.6,7
11.6,3.3,33,98,9.2,5
8.7,2.5,20,49,10.6,7
11,2,6,18,10.5,5
10.4,2.7,18,48,10.3,6
6.9,2.4,5,16,10.1,6
13.3,3.2,17,53,9.5,6
10.8,2.5,5,27,9.5,5
10.6,2.6,26,70,9.9,5
7.1,2,8,29,9.6,5
7.2,2.3,5,31,9.7,5
6.9,2.1,8,33,9.6,5
7.5,2.6,20,44,10.7,6
11.1,1.5,7,15,10.1,6
8.3,2.6,12,28,10,5
7.4,1.6,5,21,9.5,5
8.4,2.1,12,90,9.2,5
10.3,2.5,6,25,9.3,6
7.6,2.2,7,54,9.4,5
10.3,2.4,6,14,9.5,6
10.3,2.4,5,12,9.5,6
7.4,1.7,9,30,9.5,6
10.3,2.5,6,25,9.3,6
7.9,2,15,105,9.4,6
9,2.8,19,98,9.5,6
8.6,3,30,135,9.4,5
7.4,2.6,26,72,11,5
7.1,2.5,20,53,11,6
9.6,3.4,37,92,10.1,5
9.6,2.9,30,74,10.4,6
9.8,3.2,21,59,11.5,7
9.6,2.9,30,74,10.4,6
9.8,3.2,21,59,11.5,7
9.3,3.4,25,87,9.7,5
7.8,2.3,6,18,9.3,5
10.3,2.8,35,73,9.5,6
10,11,13,50,9.2,6
10,11,13,50,9.2,6
11.6,3.65,6,14,11.5,7
10.3,4.5,5,13,11.5,5
13.4,2.6,6,21,9.7,6
10.7,2,7,15,9.5,5
10.2,2.9,10,41,12.5,6
10.2,2.9,10,41,12.5,6
8,3.2,21,114,9.4,6
8.4,2.1,16,44,11,5
7.9,2.5,17,38,11.7,7
11.9,3.4,7,21,12.2,7
8.9,1.9,6,16,12.5,6
7.8,2.8,29,58,10.3,5
12.4,3,28,99,11.5,6
12.5,2.3,12,29,9.8,7
12.2,2.4,10,21,9.2,6
10.6,2.7,5,18,11.3,6
10.9,1.8,6,14,9.8,6
10.9,1.8,6,14,9.8,6
11.9,2.6,6,32,10.7,6
7,1.9,40,63,9.9,5
6.6,2.7,17,34,12.3,7
13.8,3,6,15,12,6
9.6,2.8,15,46,10,6
9.1,2.6,11,28,9.4,6
10.7,2.7,17,34,9.9,6
9.1,2.6,11,26,9.4,6
7.7,2.4,8,19,9.3,5
13.5,4.8,23,77,13,5
6.1,1.4,40.5,165,11.9,6
6.7,2.4,17,32,12.8,6
11.5,3,29,55,11,5
10.5,2.95,12,29,11.7,7
11.9,3.1,10,23,10.4,7
12.6,2.6,10,41,9.8,6
8.2,2,14,81,9.4,5
8.6,2.6,21,50,9.9,6
11.9,2.5,6,37,10,5
12.5,2,6,15,10.2,5
12.8,5.8,7,42,10,7
10,3.4,7,21,11.8,6
12.8,5.8,7,42,10,7
10.4,2.6,11,24,9,5
10.3,2.8,15,75,9.4,5
9.4,2.4,6,18,12,7
6.9,2.3,35,63,9.9,5
7.9,1.6,11,25,8.7,6
9.1,1.8,26,46,10.6,6
7.4,2.2,12,72,9.2,5
14,3.8,6,47,10.8,6
11.5,4.4,6,15,11.8,7
11.5,3,19,47,11,6
9.4,2.4,6,18,12,7
11.4,6.2,6,24,13.3,6
8.3,2.5,24,60,10.8,6
8.3,2,11,27,9.4,6
13.7,2.9,17,43,10,6
8.3,2,11,27,9.4,6
8.3,2,11,27,9.4,6
7.7,2.1,23,54,9.2,5
7.4,2.4,11,37,9.7,6
7.8,2,23,48,9.2,6
8.3,1.9,17,42,9.6,6
7.8,1.9,23,53,9.2,6
9.6,2.5,16,49,10,7
5.6,1.4,12,88,12.9,8
13.7,2.9,17,43,10,6
9.5,2,6,26,9.5,5
8.4,2,13,95,9.1,5
12.7,2.3,6,25,9.9,5
12,4.2,7,38,13,7
6.6,7.9,68,124,9.9,5
11.5,2.6,13,49,11,6
11.5,2.6,13,49,11,6
8.7,2.3,9,42,9.4,5
6.6,7.9,68,124,9.9,5
7.7,1.7,20,38,10.8,6
12.2,2.6,19,64,10.5,6
11.4,2.7,10,41,10.5,6
7.7,2.7,15,27,9.1,5
8.7,1.4,11,25,10.1,6
9.8,2.5,9,28,10.8,6
12,3,12,30,10.8,7
10.4,3.7,6,16,11.3,6
12.5,4.5,26,49,9.6,4
9,2.5,26,86,9.5,6
9.1,2.4,23,78,9.5,5
7.1,1.9,15,77,9.3,5
9.9,6.7,6,19,11.7,7
8.8,2.7,24,122,9.5,5
8.6,6.6,31,134,9.3,5
10.6,2.2,6,20,11.7,6
7,1.9,34,124,10.5,5
11.9,2,7,20,10.4,6
6.8,1.8,34,52,9.9,5
9.5,2.4,35,67,11.8,7
6.6,2.3,32,48,12.3,7
7.7,2,15,60,10.9,5
10.5,2.1,6,24,11,7
7.7,2,15,60,10.9,5
6.6,2.3,32,48,12.3,7
6.4,2.1,19,48,11.4,6
9.5,1.9,6,32,10.6,6
9.1,1.3,9,30,9.3,5
12.8,2.4,13,35,10.4,6
10.5,2.1,6,24,11,7
7.8,2.2,21,66,9.2,5
11.9,2.3,12,24,12.8,6
12.3,2.3,6,18,9.5,5
10.4,3.2,22,54,9.9,6
12.3,2.3,6,18,9.5,5
8,2,38,62,10.2,6
11.1,3.2,6,22,11.2,6
10.4,3.2,22,54,9.9,6
7,1.5,7,50,9.3,5
12.6,2.2,6,29,9.8,8
11.9,2.15,7,27,11.3,6
15.6,3.7,6,43,11.2,7
10,2.7,11,19,11.6,7
5.3,1.7,5,27,12.5,7
9.5,2.1,6,31,10.1,6
12.5,2.6,31,72,10.5,5
9.3,2.1,6,16,11.2,5
8.6,2,7,27,10.2,6
11.9,2.8,17,35,10.8,6
11.9,2.8,17,35,10.8,6
8.4,1.8,9,26,9.1,6
6.8,1.7,18,35,10,6
10.4,2.8,5,22,11.2,7
7,1.6,21,67,11.1,5
11.3,5.2,6,19,13.4,8
8.9,2.3,5,22,10.3,5
9.2,2.7,29,65,9.6,5
10.4,2.8,5,22,11.2,7
11.6,2.2,10,47,9,3
9.2,2.3,14,23,11.3,6
8.3,2.6,6,19,9.3,5
11,2.55,10,25,11.8,5
8.1,2.2,25,129,9,5
11.5,2.1,5,15,9.2,6
10,2.9,10,26,9.7,5
10.3,2,21,51,11.5,6
8.8,2.6,7,18,14,6
11.4,2.1,6,21,9.2,6
8.7,1.2,36,48,9.8,5
13,2.6,15,47,10.6,5
9.6,2.4,25,52,11.4,6
12.5,2.6,25,68,10.4,6
9.9,2.1,5,14,10.6,5
10.5,1.7,10,24,9.4,6
9.6,2.2,5,28,10.2,5
9.3,2,6,16,9.7,5
10.4,1.8,6,20,11,6
9.6,2.2,5,28,10.2,5
9.4,2.7,6,31,10.1,6
10.6,15.5,6,23,9.2,5
9.4,2.8,6,17,11.7,8
10.6,2.2,6,18,9.4,5
10.6,2.2,7,18,9.4,5
10.6,4.1,6,24,13.4,6
10.2,1.9,6,17,10,5
10.2,1.9,6,17,10,5
10.2,1.8,5,14,10,6
11.6,2.8,35,67,10.8,7
9.3,2.6,10,26,10.2,6
9.3,2.8,24,56,10.6,6
9.2,2.5,12,25,13.3,7
8.9,2.6,13,27,13.4,7
8.7,3,23,81,11.6,6
6.5,8.3,28,91,12.1,6
10.7,2.6,5,16,11,8
7.8,1.9,14,38,9,6
7.2,2.5,43,113,11.1,5
10.7,2.6,5,16,11,8
8.7,3,23,81,11.6,6
7.8,1.9,14,38,9,6
10.4,6.55,38,76,12,7
10.4,6.55,38,76,12,7
10.5,1.9,6,24,10.9,7
10.5,1.8,6,22,10.8,7
10.2,2.9,10,26,12.5,7
10.4,1.8,6,21,10.8,7
11.2,2.3,6,13,9.5,6
10,2.2,26,62,10.2,6
13.3,2.8,23,43,11.4,7
12.4,4.6,19,43,9.5,5
10,2.2,26,62,10.2,6
10.7,2.1,15,49,9.7,6
10.5,2.4,6,15,11.8,7
10.5,2.4,6,15,11.8,7
8.5,6.1,34,151,9.3,5
12.5,4.3,5,14,11.9,6
10.4,2.1,5,16,8.4,3
10.9,2.8,11,32,11.7,6
7.3,2.5,39,106,11,5
9.8,2.7,15,33,10,6
7.6,2,16,43,9.1,5
8.2,2.3,47,133,9.8,5
9.3,2.5,38,142,9.4,5
9.2,2.4,23,116,9.5,5
10.4,2.8,29,53,9.9,5
7.3,2.5,39,106,11,5
7,2.5,33,85,11.4,6
8.2,2.6,32,55,8.7,6
9.9,2.4,6,33,9.4,5
9.1,2.1,1,28,10.3,6
11.9,2.7,12,42,10.3,5
11.9,2.7,12,42,10.3,5
10.3,2.1,15,33,12.8,6
10,2.7,13,32,10,6
9.1,2.1,1,28,10.3,6
9.9,2.4,6,33,9.4,5
8.1,2.1,5,13,10.7,6
12.9,5.8,5,35,12,7
11.2,5.15,5,17,11.2,5
9.2,3.3,20,47,9.6,5
9.5,6.3,5,17,11,6
9.3,2.1,5,20,9.9,5
11.2,2.5,16,53,11,6
14.3,1.8,6,15,8.4,6
9.1,2.6,38,106,9.1,5
7.5,2,10,28,9.5,6
10.6,2.5,6,21,10.7,6
12.4,2.6,27,69,10.4,6
9,1.9,6,25,9.4,6
6.8,2.1,9,25,9.5,6
9.4,2.8,14,45,10,6
9.5,2.7,14,44,10,6
5,1.6,32,96,11.5,5
15.5,4.2,10,23,11.1,5
15.5,4.2,10,23,11.1,5
10.9,4.6,10,17,11.7,6
15.6,4.2,10,23,11.1,5
10.9,4.6,10,17,11.7,6
13,4.3,6,47,12.7,6
12.7,2.8,5,19,11.4,5
9,2.4,26,121,9.2,5
9,2.9,41,110,9.2,5
7.6,2.7,25,60,10.1,6
13,4.3,6,47,12.7,6
12.7,2.8,5,19,11.4,5
8.7,2.5,5,15,9,6
8.7,2.5,5,15,9,6
9.8,2.6,5,20,10.7,6
6.2,2.2,19,42,11.7,6
11.5,3.3,10,37,11,6
6.2,2.2,19,42,11.7,6
10.2,2.4,10,28,10.4,5
10.5,2.1,14,47,9.6,4
10.6,3.2,20,78,10,6
12.3,3.1,28,46,10.2,6
9.9,2.3,6,14,10,4
8.8,2.8,18,111,9.5,5
8.8,2.9,17,110,9.8,5
10.6,2.2,18,40,9.8,6
12.3,2.2,5,14,9.6,5
12.3,2.2,5,14,9.6,5
11.7,2.2,5,15,9.2,5
12,1.9,10,21,9.9,7
11.8,3.4,54,80,10.7,7
7.6,2.4,8,38,9.6,6
11.1,2.7,16,47,10.6,7
7.3,1.9,18,102,9.3,5
5,2,19,50,14,8
10.2,2.6,5,13,10.5,7
9,2.6,21,75,9.7,5
6.6,1.7,23,149,11.5,6
9,2.6,21,75,9.7,5
9.9,3.5,9,43,9,5
7.9,2.6,20,38,9.5,5
8.9,7.9,30,109,9.3,5
12.4,2,6,24,9.3,6
11.9,1.9,5,18,10,6
8.5,2.1,5,30,9.8,6
12.7,2.3,11,22,9.3,6
8.2,2.1,7,23,10,4
13.2,2.2,12,35,9,6
7.7,2.6,6,14,9.3,5
13.2,2.2,12,35,9,6
8.3,2.9,14,63,9.1,6
8.3,2.6,6,24,9.2,6
9.4,4.6,10,20,12.2,7
8.8,3.3,26,52,10.5,6
10.1,5.1,11,65,10.4,6
6.3,3.2,15,39,12.7,6
8.8,2.5,25,57,9.2,5
13.2,2.7,5,16,9.4,5
7.5,2.4,18,29,10,6
8.2,1.5,10,29,9.8,5
9.2,2.2,10,103,10.2,6
9.6,2.3,28,71,9.7,5
9.6,2.3,28,71,9.7,5
11.5,2.2,14,28,9.8,6
11.4,2.7,4,17,10.2,5
11.3,2.3,6,16,9.3,5
8.3,3.4,16,112,9.4,5
8.2,3.4,14,104,9.4,5
10,1.9,9,32,9.5,5
7.9,2.9,21,45,12.1,6
6.8,5.6,21,58,10.2,5
6.8,5.6,21,58,10.2,5
8.8,2.2,5,15,9.1,5
8.8,2.2,5,15,9.1,5
8.7,2.5,7,31,9.3,6
7.6,2.3,20,84,9.3,5
8.7,2.5,7,31,9.3,6
10.4,2.7,5,19,9.5,5
7.6,3,21,43,10.5,6
10.1,3.4,11,86,11.3,4
7.9,1.9,46,102,9.5,5
8.7,1.4,24,33,9.7,5
9.6,2.4,30,147,9.4,5
9.5,2.3,31,145,9.4,5
7.7,2.2,7,23,10.2,7
8.9,1.9,25,57,10.3,6
9.9,2.3,16,40,9.4,5
9.5,2.3,21,68,9.5,5
9.9,2.3,16,40,9.4,5
9.5,2.3,21,68,9.5,5
9.9,2.3,16,40,9.4,5
7.8,6,5,11,10.1,7
7.3,3.6,6,20,10.1,5
8.3,2.2,5,14,11,4
8.7,2.8,10,28,11.2,7
6.7,8.6,24,148,11.3,6
10.7,2.2,8,32,9.6,5
9.8,2.5,35,155,11.2,5
15.9,7.5,22,71,14.9,5
9.4,2.8,9,30,12,6
8.6,2.4,7,29,9.5,5
9.7,2.9,20,53,9.4,5
10.7,2.2,8,32,9.6,5
12,1.4,23,42,10.5,7
7.2,1.4,5,20,9.6,6
7.1,4.4,5,13,11,4
7.2,1.4,5,20,9.6,6
7.5,1.6,15,42,9,5
7.2,1.6,9,27,9.6,6
10.1,1.8,5,13,10.2,6
12.1,2,15,54,10.2,5
9.4,2,25,48,9.7,5
8.3,1.8,6,16,9.5,6
11.3,2,6,15,9.2,6
10,2.3,15,31,11,5
11.3,2,6,15,9.2,6
6.9,2.5,30,45,10,5
8.2,1.7,5,13,9.5,5
9.8,2,32,151,9.5,5
8.2,1.7,5,13,9.5,5
10.8,2.2,7,17,9.3,6
9.3,2.2,12,31,10.2,5
10.8,2.2,7,17,9.3,6
8.6,2.3,12,31,9.9,5
8.3,2.6,45,87,10,5
10.8,3.3,20,49,9.6,5
13.3,1.9,15,40,9,5
8,2.2,16,29,10.2,6
8.5,2.25,32,58,9.8,5
8.1,2.6,5,15,11.3,5
9.8,2.3,35,152,9.4,5
8.1,2.6,5,15,11.3,5
7.1,1.8,13,40,9.1,5
9.1,3.1,13,38,9.7,5
7.7,1.6,4,9,9.4,5
8.1,1.8,5,17,9.4,5
7.4,4.25,5,14,10.7,3
9.2,2.6,12,93,9.8,5
8.6,2,16,62,9,5
9,2.8,21,122,9.4,5
9,2.7,24,125,9.4,5
5.1,1.3,18,44,12.8,6
7,2.1,8,25,9.5,6
7,2.1,8,25,9.5,6
9.4,3.2,18,72,9.7,5
11.8,2.1,5,19,10.8,6
10.6,2.9,26,88,10.1,6
7,2.1,8,25,9.5,6
7,2.1,9,23,9.4,6
7.5,2.6,22,84,9.6,4
9.1,1.6,4,14,9.7,4
8.4,6,11,54,9.9,5
7,2,10,19,10,5
7.4,3,16,37,10.5,5
7.8,2.5,11,35,11.6,6
9.7,1.6,13,33,10,6
10.6,2.8,21,84,10.1,5
8.9,3,16,112,9.5,5
8.7,3.2,13,33,9.4,5
8,2.3,10,48,9.4,5
9.9,2.6,21,77,9.8,5
7.2,2.7,13,34,9.2,6
8,2.3,10,48,9.4,5
7.6,2.6,12,49,10,5
8.4,2,10,22,9.6,5
7.1,3.9,17,45,9.5,5
8.4,2,10,22,9.6,5
8.9,2.85,35,106,9.2,5
7.6,2.7,15,48,10,5
7.1,2.2,36,127,9.5,5
7.5,3.1,5,12,11.2,4
9,3,5,13,10.4,5
8.1,2.8,18,49,11.1,6
6.4,1.8,4,11,9.5,5
6.4,1.8,4,11,9.5,5
6.4,3.2,27,58,12.7,6
